Species,Fruit_type,Dispersal_mode_detailed,Fruit_type_and_notes,Notes,References,,Solanum clade
Solanum_papaverifolium,Fleshy,,Berry,"Note: ""yellowish-green or green""",solanaceaesource.org,,OLD WORLD
Solanum_sturtianum,doubtful,,Berry,"Note: fruit is dry; fracturing, probably wind dispersed",solanaceaesource.org; Symon (1979),,OLD WORLD
Solanum_stenopterum,no_info,,Berry,,,,OLD WORLD
Solanum_lythrocarpum,Fleshy,,Berry,"Note: ""berry red and juicy""",solanaceaesource.org,,OLD WORLD
Solanum_petrophilum,doubtful,,Berry,Note: fruit is dry,delta-intkey.com/solanum/www/neoangli,,OLD WORLD
Solanum_ellipticum,Fleshy,,Berry,"Note: ""yellowish-green""",delta-intkey.com/solanum/www/neoangli,,OLD WORLD
Solanum_quadriloculatum,doubtful,,Berry,"Note: ""finally hard, bony, light yellow-brown""",solanaceaesource.org,,OLD WORLD
Solanum_dianthophorum,Fleshy,,Berry,Note: probably lizard dispersed,Symon (1979),,OLD WORLD
Solanum_centrale,Fleshy,,Berry,"Note: ""mature fruits globular, yellow or yellowish-green""",delta-intkey.com/solanum/www/neoangli,,OLD WORLD
Solanum_esuriale,Fleshy,,Berry,"Note: ""yellowish-green or green""",delta-intkey.com/solanum/www/neoangli,,OLD WORLD
Solanum_cinereum,doubtful,,Berry,"Note: possibly wind or wash dispersed; ""yellowish-green or green""",Symon (1979); delta-intkey.com/solanum/www/neoangli,,OLD WORLD
Solanum_prinophyllum,Fleshy,,Berry,"Note: ""green""",delta-intkey.com/solanum/www/neoangli,,OLD WORLD
Solanum_pungetium,Fleshy,,Berry,Note: probably lizard dispersed,Symon (1979),,OLD WORLD
Solanum_campanulatum,no_info,,Berry,,,,OLD WORLD
Solanum_ditrichum,Fleshy,,Berry,"Note: ""yellowish-green or pale green with dark green streaks""",solanaceaesource.org,,OLD WORLD
