Species,Fruit_type,Notes,Reference,,
Pentachondra_involucrata,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Pentachondra_pumila,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Budawangia_gnidioides,Dry,"""Fruit a loculicidal capsule""",Watson (1967),,
Epacris_impressa,Dry,"""Fruit a loculicidal capsule""",Watson (1967),,
Rupicola_sprengelioides,Dry,"""Fruit a loculicidal capsule""",Watson (1967),,
Epacris_lanuginosa,Dry,"""Fruit a loculicidal capsule""",Watson (1967),,
Woollsia_pungens,Dry,"""Fruit a loculicidal capsule""",Watson (1967),,
Lysinema_ciliatum,Dry,"""Fruit a loculicidal capsule""",Watson (1967),,
Cosmelia_rubra,Dry,"""Fruit a loculicidal capsule""",Watson (1967),,
Sprengelia_incarnata,Dry,"""Fruit a loculicidal capsule""",Watson (1967),,
Andersonia_sprengelioides,Dry,"""Fruit a loculicidal capsule""",Watson (1967),,
Dracophyllum_kirkii,Dry,"""Capsular fruit""",Wagstaff et al. (2010),,
Dracophyllum_ophioliticum,Dry,"""Capsular fruit""",Wagstaff et al. (2010),,
Dracophyllum_patens,Dry,"""Capsular fruit""",Wagstaff et al. (2010),,
Dracophyllum_acerosum,Dry,"""Capsular fruit""",Wagstaff et al. (2010),,
Dracophyllum_trimorphum,Dry,"""Capsular fruit""",Wagstaff et al. (2010),,
Dracophyllum_rosmarinifolium,Dry,"""Capsular fruit""",Wagstaff et al. (2010),,
Dracophyllum_densum,Dry,"""Capsular fruit""",Wagstaff et al. (2010),,
Dracophyllum_filifolium,Dry,"""Capsular fruit""",Wagstaff et al. (2010),,
Dracophyllum_scoparium,Dry,"""Capsular fruit""",Wagstaff et al. (2010),,
Dracophyllum_longifolium,Dry,"""Capsular fruit""",Wagstaff et al. (2010),,
Dracophyllum_muscoides,Dry,"""Capsular fruit""",Wagstaff et al. (2010),,
Dracophyllum_arboreum,Dry,"""Capsular fruit""",Wagstaff et al. (2010),,
Dracophyllum_pronum,Dry,"""Capsular fruit""",Wagstaff et al. (2010),,
Dracophyllum_strictum,Dry,"""Capsular fruit""",Wagstaff et al. (2010),,
Dracophyllum_townsonii,Dry,"""Capsular fruit""",Wagstaff et al. (2010),,
Dracophyllum_latifolium,Dry,"""Capsular fruit""",Wagstaff et al. (2010),,
Dracophyllum_fiordense,Dry,"""Capsular fruit""",Wagstaff et al. (2010),,
Dracophyllum_menziesii,Dry,"""Capsular fruit""",Wagstaff et al. (2010),,
Dracophyllum_traversii,Dry,"""Capsular fruit""",Wagstaff et al. (2010),,
Dracophyllum_balansae,Dry,"""Capsular fruit""",Wagstaff et al. (2010),,
Dracophyllum_alticola,Dry,"""Capsular fruit""",Wagstaff et al. (2010),,
Dracophyllum_ramosum,Dry,"""Capsular fruit""",Wagstaff et al. (2010),,
Dracophyllum_mackeeanum,Dry,"""Capsular fruit""",Wagstaff et al. (2010),,
Dracophyllum_cosmelioides,Dry,"""Capsular fruit""",Wagstaff et al. (2010),,
Dracophyllum_verticillatum,Dry,"""Capsular fruit""",Wagstaff et al. (2010),,
Dracophyllum_involucratum,Dry,"""Capsular fruit""",Wagstaff et al. (2010),,
Dracophyllum_thiebautii,Dry,"""Capsular fruit""",Wagstaff et al. (2010),,
Dracophyllum_ouaiemense,Dry,"""Capsular fruit""",Wagstaff et al. (2010),,
Richea_procera,Dry,"""Capsular fruit""",Menadue and Crowden (2000),,
Richea_milliganii,Dry,"""Capsular fruit""",Menadue and Crowden (2000),,
Richea_acerosa,Dry,"""Capsular fruit""",Menadue and Crowden (2000),,
Richea_sprengelioides,Dry,"""Capsular fruit""",Menadue and Crowden (2000),,
Dracophyllum_oceanicum,Dry,"""Capsular fruit""",Wagstaff et al. (2010),,
Dracophyllum_secundum,Dry,"""Capsular fruit""",Wagstaff et al. (2010),,
Dracophyllum_macranthum,Dry,"""Capsular fruit""",Wagstaff et al. (2010),,
Dracophyllum_fitzgeraldii,Dry,"""Capsular fruit""",Wagstaff et al. (2010),,
Richea_pandanifolia,Dry,"""Capsular fruit""",Menadue and Crowden (2000),,
Richea_continentis,Dry,"""Capsular fruit""",Menadue and Crowden (2000),,
Richea_alpina,Dry,"""Capsular fruit""",Menadue and Crowden (2000),,
Richea_scoparia,Dry,"""Capsular fruit""",Menadue and Crowden (2000),,
Richea_gunnii,Dry,"""Capsular fruit""",Menadue and Crowden (2000),,
Richea_victoriana,Dry,"""Capsular fruit""",Menadue and Crowden (2000),,
Dracophyllum_minimum,Dry,"""Capsular fruit""",Menadue and Crowden (2000),,
Dracophyllum_sayeri,Dry,"""Capsular fruit""",Menadue and Crowden (2000),,
Sphenotoma_gracilis,Dry,"""Fruit a loculicidal capsule""",Watson (1967),,
Sphenotoma_drummondii,Dry,"""Fruit a loculicidal capsule""",Watson (1967),,
Sphenotoma_dracophylloides,Dry,"""Fruit a loculicidal capsule""",Watson (1967),,
Sphenotoma_capitata,Dry,"""Fruit a loculicidal capsule""",Watson (1967),,
Dracophyllum_milliganii,Dry,"""Fruit a loculicidal capsule""",Watson (1967),,
Monotoca_leucantha,doubtful,"""Fruit a nut""",Albrecht and Hislop (2011),,
Dielsiodoxa_tamariscina,doubtful,"""Fruit a nut""",Albrecht and Hislop (2011),,
Oligarrhena_micrantha,doubtful,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),,
Needhamiella_pumilio,doubtful,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),,
Archeria_comberi,Dry,"""Fruit a loculicidal capsule""",Stevens (2004),,
Archeria_hirtella,Dry,"""Fruit a loculicidal capsule""",Stevens (2004),,
Lebetanthus_myrsinites,Dry,"""Dehisced fruit.""",Stevens (2004),,
Prionotes_cerinthoides,Dry,Capsule? ,from protologue - Tropicos,,
Ceratostema_lanigerum,Fleshy,"""fruit dark blue-black, rarely translucent white; testa mucilaginous;""",Stevens (2004),Vaccinieae,
Ceratostema_silvicola,Fleshy,"""fruit dark blue-black, rarely translucent white; testa mucilaginous;""",Stevens (2004),Vaccinieae,
Ceratostema_megabracteatum,Fleshy,"""fruit dark blue-black, rarely translucent white; testa mucilaginous;""",Stevens (2004),Vaccinieae,
Ceratostema_rauhii,Fleshy,"""fruit dark blue-black, rarely translucent white; testa mucilaginous;""",Stevens (2004),Vaccinieae,
Siphonandra_elliptica,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Psammisia_sclerantha,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Psammisia_ulbrichiana,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Macleania_rupestris,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Macleania_insignis,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Macleania_cordifolia,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Sphyrospermum_buxifolium,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Sphyrospermum_cordifolium,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Plutarchia_ecuadorensis,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Oreanthes_glanduliferus,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Disterigma_ovatum,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Disterigma_alaternoides,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Polyclita_turbinata,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Semiramisia_speciosa,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Demosthenesia_mandonii,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Demosthenesia_spectabilis,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Demosthenesia_pearcei,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Diogenesia_boliviana,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Themistoclesia_costaricensis,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Themistoclesia_epiphytica,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
