Species,Fruit_type,,
Memecylon_oubanguianum,Fleshy,,
Memecylon_macrodendron,Fleshy,,
Memecylon_dasyanthum,Fleshy,,
Memecylon_myrianthum,Fleshy,,
Memecylon_klaineanum,Fleshy,,
Memecylon_germainii,Fleshy,,
Memecylon_virescens,Fleshy,,
Memecylon_candidum,Fleshy,,
Memecylon_laurentii,Fleshy,,
Memecylon_calophyllum,Fleshy,,
Memecylon_arcuatomarginatum,Fleshy,,
Memecylon_simulans,Fleshy,,
Memecylon_hyleastrum,Fleshy,,
Memecylon_zenkeri,Fleshy,,
Memecylon_kupeanum,Fleshy,,
Memecylon_bakossiense,Fleshy,,
Memecylon_englerianum,Fleshy,,
Memecylon_caeruleum,Fleshy,,
Memecylon_polyanthum,Fleshy,,
Memecylon_ligustrifolium,Fleshy,,
Memecylon_luchuenense,Fleshy,,
Memecylon_scutellatum,Fleshy,,
Memecylon_chevalieri,Fleshy,,
Memecylon_pauciflorum,Fleshy,,
Memecylon_floribundum,Fleshy,,
Memecylon_cantleyi,Fleshy,,
Memecylon_plebejum,Fleshy,,
Memecylon_nigrescens,Fleshy,,
Memecylon_lilacinum,Fleshy,,
Memecylon_durum,Fleshy,,
Memecylon_edule,Fleshy,,
Memecylon_talbotianum,Fleshy,,
Memecylon_ovatum,Fleshy,,
Memecylon_angustifolium,Fleshy,,
Memecylon_parvifolium,Fleshy,,
Memecylon_rotundatum,Fleshy,,
Memecylon_fuscescens,Fleshy,,
Memecylon_royenii,Fleshy,,
Memecylon_sessile,Fleshy,,
Memecylon_wightii,Fleshy,,
Memecylon_randerianum,Fleshy,,
Memecylon_umbellatum,Fleshy,,
Pternandra_multiflora,Fleshy,,
Pternandra_coerulescens,Fleshy,,
Pternandra_hirtella,Fleshy,,
Pternandra_cogniauxii,Fleshy,,
Pternandra_echinata,Fleshy,,
Bellucia_grossularioides,Fleshy,,
Bellucia_aequiloba,Fleshy,,
Bellucia_pentamera,Fleshy,,
Bellucia_arborescens,Fleshy,,
Bellucia_subandina,Fleshy,,
Bellucia_mespiloides,Fleshy,,
Bellucia_spruceana,Fleshy,,
Henriettea_flavescens,Fleshy,,
Henriettea_multiflora,Fleshy,,
Henriettea_granulata,Fleshy,,
Henriettea_martiusii,Fleshy,,
Henriettea_spruceana,Fleshy,,
Henriettea_ramiflora,Fleshy,,
Henriettea_succosa,Fleshy,,
Henriettea_patrisiana,Fleshy,,
Henriettea_aggregata,Fleshy,,
Henriettea_rimosa,Fleshy,,
Henriettea_squamulosa,Fleshy,,
Henriettea_uniflora,Fleshy,,
Henriettea_sessilifolia,Fleshy,,
Henriettea_tovarensis,Fleshy,,
Henriettea_tuberculosa,Fleshy,,
Henriettea_odorata,Fleshy,,
Henriettea_squamata,Fleshy,,
Henriettea_gibberosa,Fleshy,,
Henriettea_ekmanii,Fleshy,,
Henriettea_macfadyenii,Fleshy,,
Henriettea_barkeri,Fleshy,,
Henriettea_megaloclada,Fleshy,,
Pachycentria_constricta,Fleshy,,
Pachycentria_pulverulenta,Fleshy,,
Medinilla_cummingii,Fleshy,,
Catanthera_quintuplinervis,Fleshy,,
Catanthera_pilosa,Fleshy,,
Kendrickia_walkeri,Fleshy,,
Catanthera_tetrandra,Fleshy,,
Medinilla_serpens,Fleshy,,
Medinilla_alternifolia,Fleshy,,
Medinilla_rubrifrons,Fleshy,,
Medinilla_stephanostegia,Fleshy,,
Plethiandra_hookeri,Fleshy,,
Plethiandra_cuneata,Fleshy,,
Pachycentria_glauca,Fleshy,,
Medinilla_sessiliflora,Fleshy,,
Medinilla_suberosa,Fleshy,,
Medinilla_humbertiana,Fleshy,,
Medinilla_humblotii,Fleshy,,
Medinilla_lanceata,Fleshy,,
Dissochaeta_annulata,Fleshy,,
Dissochaeta_bracteata,Fleshy,,
Dissochaeta_divaricata,Fleshy,,
Dissochaeta_viminalis,Fleshy,,
Pseudodissochaeta_septentrionalis,Fleshy,,
Dissochaeta_affinis,Fleshy,,
Dissochaeta_reformata,Fleshy,,
Chalybea_corymbifera,Fleshy,,
Chalybea_calyptrata,Fleshy,,
Chalybea_macrocarpa,Fleshy,,
Chalybea_ecuadorensis,Fleshy,,
Blakea_setosa,Fleshy,,
Blakea_punctulata,Fleshy,,
Blakea_jativae,Fleshy,,
Blakea_granatensis,Fleshy,,
Blakea_spruceana,Fleshy,,
Blakea_polyantha,Fleshy,,
Blakea_repens,Fleshy,,
Blakea_hispida,Fleshy,,
Blakea_lanuginosa,Fleshy,,
Blakea_subconnata,Fleshy,,
Blakea_platypoda,Fleshy,,
Blakea_subvaginata,Fleshy,,
Blakea_glabrescens,Fleshy,,
Blakea_involvens,Fleshy,,
Blakea_cuatrecasasii,Fleshy,,
Blakea_hirsuta,Fleshy,,
