"","species","temp","se_temp","within_sp_var_temp","prec","se_prec","within_sp_var_prec","mean_pet","se_pet","within_sp_var_pet","mean_aridity","se_aridity","within_sp_var_aridity","Dispersal_mode"
"900","Physeterostemon_fiaschii",5.692553,NA,7.7e-05,7.53583,NA,0.106405,7.270313,NA,0.012312,9.536762,NA,0.117268,"Abiotic"
"901","Physeterostemon_jardimii",5.695078,0.000168,3.9e-05,7.621015,0.029153,0.053203,7.281727,0.002408,0.006156,9.578956,0.015286,0.058634,"Abiotic"
"902","Physeterostemon_thomasii",5.685109,NA,7.7e-05,7.170888,NA,0.106405,7.173958,NA,0.012312,9.345483,NA,0.117268,"Abiotic"
"903","Pilocosta_nubicola",5.686806,NA,7.7e-05,7.899524,NA,0.106405,7.415777,NA,0.012312,9.475777,NA,0.117268,"Abiotic"
"904","Pleiochiton_amorimii",5.685788,NA,7.7e-05,7.007601,NA,0.106405,7.173192,NA,0.012312,9.186457,NA,0.117268,"Biotic"
"905","Pleiochiton_ebracteatum",5.674062,0.00195,8e-06,7.420315,0.065113,0.010641,7.020673,0.017433,0.001231,9.606519,0.061393,0.011727,"Biotic"
"906","Pleiochiton_micranthum",5.670398,NA,7.7e-05,7.319202,NA,0.106405,7.068172,NA,0.012312,9.410993,NA,0.117268,"Biotic"
"907","Pleiochiton_setulosum",5.674679,0.006005,3.9e-05,7.259205,0.073818,0.053203,7.092085,0.012059,0.006156,9.325239,0.018407,0.058634,"Biotic"
"908","Pleroma_penduliflora",5.693564,NA,7.7e-05,7.050123,NA,0.106405,7.191429,NA,0.012312,9.105091,NA,0.117268,"Abiotic"
"909","Plethiandra_cuneata",5.696919,0.004256,1.1e-05,8.125409,0.060783,0.015201,7.255746,0.036294,0.002052,10.077753,0.065939,0.019545,"Biotic"
"910","Plethiandra_hookeri",5.69373,0.003089,7e-06,7.981613,0.077945,0.009673,7.273851,0.023439,0.001119,9.938436,0.080474,0.010661,"Biotic"
"911","Pternandra_coerulescens",5.701628,0.000589,1e-06,7.830589,0.031662,0.001612,7.386412,0.01449,0.000199,9.645412,0.045568,0.001891,"Biotic"
"912","Pternandra_cogniauxii",5.69888,0.001055,4e-06,7.978337,0.056275,0.004837,7.314802,0.007802,0.000586,9.889986,0.056641,0.005584,"Biotic"
"913","Pternandra_multiflora",5.701224,0.001593,1.1e-05,8.113214,0.052808,0.015201,7.337547,0.027848,0.001759,9.982509,0.063098,0.016753,"Biotic"
"914","Pterogastra_divaricata",5.698839,0.001575,2e-06,7.875643,0.035777,0.002475,7.321603,0.011947,0.000286,9.742459,0.031749,0.002727,"Abiotic"
"915","Pterogastra_minor",5.698251,0.005373,1.3e-05,7.870599,0.046707,0.017734,7.314505,0.023482,0.002052,9.694102,0.045697,0.019545,"Abiotic"
"916","Pterolepis_alpestris",5.678293,0.001026,3.9e-05,7.300584,0.021266,0.053203,7.184996,0.004926,0.006156,9.280404,0.036726,0.058634,"Abiotic"
"917","Pterolepis_glomerata",5.692066,0.000899,1e-06,7.297785,0.03861,0.001097,7.325578,0.011919,0.00013,9.190595,0.038875,0.001234,"Abiotic"
"918","Pterolepis_polygonoides",5.69327,0.001415,2e-06,6.959684,0.057006,0.00304,7.390348,0.014693,0.000352,8.800305,0.057117,0.003351,"Abiotic"
"919","Pterolepis_repanda",5.685779,0.001593,4e-06,7.305239,0.021673,0.005067,7.29804,0.018504,0.000586,9.19914,0.025669,0.005584,"Abiotic"
"920","Pterolepis_rotundifolia",5.678977,NA,7.7e-05,6.866933,NA,0.106405,7.307873,NA,0.012312,8.787373,NA,0.117268,"Abiotic"
"921","Quipuanthus_epipetricus",5.689321,0.006932,3.9e-05,8.139679,0.237562,0.053203,7.128708,0.131112,0.006156,10.044739,0.427069,0.058634,"Abiotic"
"922","Rhexia_alifanus",5.676655,0.000884,3e-06,7.245715,0.019942,0.004256,7.365682,0.006015,0.000492,9.09814,0.022364,0.004691,"Abiotic"
"923","Rhexia_aristosa",5.668713,0.003056,9e-06,7.115382,0.03306,0.011823,7.312251,0.033133,0.001368,9.020156,0.026772,0.01303,"Abiotic"
"924","Rhexia_cubensis",5.684949,0.00153,9e-06,7.17041,0.009941,0.011823,7.438955,0.017723,0.001368,8.933593,0.016904,0.01303,"Abiotic"
"925","Rhexia_lutea",5.676755,0.00063,3e-06,7.229185,0.021867,0.003941,7.365654,0.005329,0.000474,9.079444,0.026328,0.00451,"Abiotic"
"926","Rhexia_mariana",5.671692,0.000963,1e-06,7.162103,0.014043,0.001182,7.331482,0.00862,0.000137,9.049195,0.016606,0.001303,"Abiotic"
"927","Rhexia_nashii",5.67525,0.00149,3e-06,7.180212,0.019705,0.004093,7.364427,0.012175,0.000474,9.031019,0.020699,0.00451,"Abiotic"
