Species,Fruit_type,Fruit_type_and_notes,Notes,References
Cynanchum_ellipticum,Dry,Follicles,,Endress et al. (2018)
Cynanchum_erythranthum,Dry,Follicles,,Endress et al. (2018)
Cynanchum_falcatum,Dry,Follicles,,Endress et al. (2018)
Cynanchum_floribundum,Dry,Follicles,,Endress et al. (2018)
Cynanchum_foetidum,Dry,Follicles,,Endress et al. (2018)
Cynanchum_folotsioides,Dry,Follicles,,Endress et al. (2018)
Cynanchum_gerrardii,Dry,Follicles,,Endress et al. (2018)
Cynanchum_grandidieri,Dry,Follicles,,Endress et al. (2018)
Cynanchum_hastifolium,Dry,Follicles,,Endress et al. (2018)
Cynanchum_implicatum,Dry,Follicles,,Endress et al. (2018)
Cynanchum_insigne,Dry,Follicles,,Endress et al. (2018)
Cynanchum_itremense,Dry,Follicles,,Endress et al. (2018)
Cynanchum_julianimarnieri,Dry,Follicles,,Endress et al. (2018)
Cynanchum_laeve,Dry,Follicles,,Endress et al. (2018)
Cynanchum_ligulatum,Dry,Follicles,,Endress et al. (2018)
Cynanchum_macranthum,Dry,Follicles,,Endress et al. (2018)
Cynanchum_madagascariense,Dry,Follicles,,Endress et al. (2018)
Cynanchum_marnieranum,Dry,Follicles,,Endress et al. (2018)
Cynanchum_messeri,Dry,Follicles,,Endress et al. (2018)
Cynanchum_mevei,Dry,Follicles,,Endress et al. (2018)
Cynanchum_meyeri,Dry,Follicles,,Endress et al. (2018)
Cynanchum_montevidense,Dry,Follicles,,Endress et al. (2018)
Cynanchum_moramangense,Dry,Follicles,,Endress et al. (2018)
Cynanchum_natalitium,Dry,Follicles,,Endress et al. (2018)
Cynanchum_obovatum,Dry,Follicles,,Endress et al. (2018)
Cynanchum_obtusifolium,Dry,Follicles,,Endress et al. (2018)
Cynanchum_orangeanum,Dry,Follicles,,Endress et al. (2018)
Cynanchum_ovalifolium,Dry,Follicles,,Endress et al. (2018)
Cynanchum_pachycladon,Dry,Follicles,,Endress et al. (2018)
Cynanchum_papillatum,Dry,Follicles,,Endress et al. (2018)
Cynanchum_pearsonianum,Dry,Follicles,,Endress et al. (2018)
Cynanchum_perrieri,Dry,Follicles,,Endress et al. (2018)
Cynanchum_phillipsonianum,Dry,Follicles,,Endress et al. (2018)
Cynanchum_polyanthum,Dry,Follicles,,Endress et al. (2018)
Cynanchum_praecox,Dry,Follicles,,Endress et al. (2018)
Cynanchum_pycnoneuroides,Dry,Follicles,,Endress et al. (2018)
