"","Clade","ObsSt","Alpha","Sigma","Optim"
"Cercocarpus_ledifolius","Rosaceae","Abiotic",0.645225576108113,0.143915186127727,7.02624584347535
"Purshia_stansburyana","Rosaceae","Abiotic",0.645226117372493,0.143941819284195,7.02545466091068
"Purshia_tridentata","Rosaceae","Abiotic",0.645226117372493,0.143941819284195,7.02545466091068
"Solanum_chenopodinum","Solanaceae","Biotic",0.165581643190681,0.0118762338594307,7.29318108500346
"Solanum_ferocissimum","Solanaceae","Biotic",0.165581643190681,0.0118762338594307,7.29318108500346
"Solanum_stelligerum","Solanaceae","Biotic",0.165578189427784,0.0118956670866735,7.29343534967276
"Solanum_latens","Solanaceae","Biotic",0.165571396065826,0.0119340582890655,7.29394455016255
"Solanum_chenopodium","Solanaceae","Biotic",0.165561793211743,0.0119868118583112,7.29465777232146
"Solanum_gympiense","Solanaceae","Biotic",0.165544551087748,0.0120784096770667,7.29591944571643
"Solanum_densevestitum","Solanaceae","Biotic",0.165579941004199,0.011884756147006,7.29329716826518
"Solanum_nemophilum","Solanaceae","Biotic",0.165579941004199,0.011884756147006,7.29329716826518
"Solanum_hapalum","Solanaceae","Biotic",0.165575571571334,0.0119097872920948,7.29362734000439
"Solanum_innoxium","Solanaceae","Biotic",0.16556744085538,0.0119551274049733,7.29423545767517
"Solanum_johnsonianum","Solanaceae","Biotic",0.165557062623679,0.012011025684305,7.29499967043229
"Solanum_discolor","Solanaceae","Biotic",0.16554425561318,0.0120729996946419,7.29587704609873
"Solanum_shirleyanum","Solanaceae","Biotic",0.16554425561318,0.0120729996946419,7.29587704609873
"Solanum_corifolium","Solanaceae","Biotic",0.165534064502445,0.012129956177696,7.29664789701659
"Solanum_cookii","Solanaceae","Biotic",0.165522323791031,0.0121914468618941,7.29750524884883
"Solanum_dissectum","Solanaceae","Biotic",0.165532847157031,0.0121352270920521,7.29672657435787
"Solanum_stupefactum","Solanaceae","Biotic",0.165532847157031,0.0121352270920521,7.29672657435787
"Solanum_furfuraceum","Solanaceae","Biotic",0.165543268668915,0.0120761085136076,7.29593971992028
"Solanum_rixosum","Solanaceae","Biotic",0.165543268668915,0.0120761085136076,7.29593971992028
"Solanum_incompletum","Solanaceae","Biotic",0.165560378523922,0.01199708752206,7.29476319292367
