"","species","n_bio1","mean_bio1","sd_bio1","se_bio1","within_sp_var_bio1","species.1","n_bio12","mean_bio12","sd_bio12","se_bio12","within_sp_var_bio12","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"83","Solanum physalifolium","101","5.642562","0.011514","0.001146","2e-06","Solanum physalifolium","101","6.443564","0.496245","0.049378","0.002284","Solanum physalifolium","99","6.996032","0.332549","0.033422","0.000385","Solanum physalifolium","99","8.677714","0.716508","0.072012","0.003369"
"84","Solanum asperolanatum","59","5.668576","0.015285","0.00199","3e-06","Solanum asperolanatum","59","7.214379","0.448705","0.058416","0.00391","Solanum asperolanatum","59","7.158197","0.145693","0.018968","0.000646","Solanum asperolanatum","59","9.262199","0.477869","0.062213","0.005653"
"85","Solanum aligerum","75","5.667467","0.015543","0.001795","2e-06","Solanum aligerum","75","7.009474","0.621809","0.0718","0.003076","Solanum aligerum","75","7.359217","0.13371","0.01544","0.000508","Solanum aligerum","75","8.828722","0.664772","0.076761","0.004447"
"86","Solanum paniculatum","209","5.690739","0.00823","0.000569","1e-06","Solanum paniculatum","209","7.086105","0.366378","0.025343","0.001104","Solanum paniculatum","209","7.347713","0.114032","0.007888","0.000182","Solanum paniculatum","209","8.966901","0.425808","0.029454","0.001596"
"87","Solanum appendiculatum","43","5.675657","0.012228","0.001865","4e-06","Solanum appendiculatum","43","7.18611","0.48749","0.074342","0.005364","Solanum appendiculatum","43","7.415683","0.099562","0.015183","0.000886","Solanum appendiculatum","43","8.950262","0.50767","0.077419","0.007756"
"88","Witheringia solanacea","158","5.69083","0.011555","0.000919","1e-06","Witheringia solanacea","158","7.76447","0.452028","0.035961","0.00146","Witheringia solanacea","157","7.285331","0.152594","0.012178","0.000243","Witheringia solanacea","157","9.629787","0.471674","0.037644","0.002124"
"89","Solanum diversifolium","119","5.69131","0.013001","0.001192","1e-06","Solanum diversifolium","119","7.463607","0.539546","0.04946","0.001938","Solanum diversifolium","118","7.389961","0.150111","0.013819","0.000323","Solanum diversifolium","118","9.260795","0.559268","0.051485","0.002826"
"90","Solanum palinacanthum","163","5.687435","0.010109","0.000792","1e-06","Solanum palinacanthum","163","7.04529","0.413028","0.032351","0.001415","Solanum palinacanthum","163","7.36431","0.119756","0.00938","0.000234","Solanum palinacanthum","163","8.904759","0.472725","0.037027","0.002046"
"91","Petunia scheideana","11","5.671696","0.006207","0.001871","1.6e-05","Petunia scheideana","11","7.452462","0.10442","0.031484","0.02097","Petunia scheideana","11","7.153655","0.099279","0.029934","0.003464","Petunia scheideana","11","9.498169","0.123945","0.037371","0.030319"
"92","Nectouxia formosa","9","5.655843","0.010776","0.003592","2e-05","Nectouxia formosa","9","6.977223","0.287158","0.095719","0.02563","Nectouxia formosa","9","7.428557","0.09064","0.030213","0.004234","Nectouxia formosa","9","8.648612","0.322404","0.107468","0.037056"
"93","Solanum splendens","85","5.692707","0.010293","0.001116","2e-06","Solanum splendens","85","7.827703","0.376013","0.040784","0.002714","Solanum splendens","83","7.243445","0.158898","0.017441","0.000459","Solanum splendens","83","9.735248","0.44857","0.049237","0.004018"
"94","Anisodus tanguticus","35","5.623978","0.013347","0.002256","5e-06","Anisodus tanguticus","35","6.404006","0.255866","0.043249","0.006591","Anisodus tanguticus","35","6.971404","0.197577","0.033397","0.001089","Anisodus tanguticus","35","8.657563","0.31031","0.052452","0.009529"
"95","Solanum habrochaites","26","5.66785","0.022927","0.004496","7e-06","Solanum habrochaites","26","6.044653","1.038345","0.203636","0.008872","Solanum habrochaites","26","7.188393","0.159615","0.031303","0.001466","Solanum habrochaites","26","8.117764","0.980056","0.192205","0.012827"
"96","Solanum anceps","89","5.689972","0.012289","0.001303","2e-06","Solanum anceps","89","7.710431","0.440879","0.046733","0.002592","Solanum anceps","88","7.179052","0.091312","0.009734","0.000433","Solanum anceps","88","9.684964","0.419182","0.044685","0.00379"
"97","Solanum andreanum","6","5.648837","0.013705","0.005595","2.9e-05","Solanum andreanum","6","7.255294","0.375178","0.153166","0.038445","Solanum andreanum","6","6.912258","0.126125","0.05149","0.006351","Solanum andreanum","6","9.399018","0.432834","0.176704","0.055584"
"98","Solanum aturense","73","5.688336","0.012397","0.001451","2e-06","Solanum aturense","73","7.857625","0.431141","0.050461","0.00316","Solanum aturense","72","7.252927","0.138206","0.016288","0.000529","Solanum aturense","72","9.748742","0.470617","0.055463","0.004632"
"99","Solanum acerifolium","78","5.677995","0.012379","0.001402","2e-06","Solanum acerifolium","78","7.471323","0.379168","0.042932","0.002957","Solanum acerifolium","78","7.282552","0.130758","0.014805","0.000489","Solanum acerifolium","78","9.369464","0.397148","0.044968","0.004276"
